,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
275, 02195,3.0,Per capita personal income (dollars) 2/,Dollars,64346,66506,71510,74021
276, 02198,1.0,Personal income (thousands of dollars),Thousands of dollars,261201,272341,291186,305045
277, 02198,2.0,Population (persons) 1/,Number of persons,6519,6444,6360,6203
278, 02198,3.0,Per capita personal income (dollars) 2/,Dollars,40068,42263,45784,49177
279, 02201,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
280, 02201,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
281, 02201,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
282, 02220,1.0,Personal income (thousands of dollars),Thousands of dollars,557306,591959,610032,632223
283, 02220,2.0,Population (persons) 1/,Number of persons,8736,8641,8554,8493
284, 02220,3.0,Per capita personal income (dollars) 2/,Dollars,63794,68506,71315,74440
285, 02230,1.0,Personal income (thousands of dollars),Thousands of dollars,84911,90142,96642,102352
286, 02230,2.0,Population (persons) 1/,Number of persons,1132,1167,1169,1183
287, 02230,3.0,Per capita personal income (dollars) 2/,Dollars,75010,77243,82671,86519
288, 02231,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
289, 02231,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
290, 02231,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
291, 02232,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
292, 02232,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
293, 02232,3.0,Per capita personal income (dollars) 2/,Dollars,(NA),(NA),(NA),(NA)
294, 02240,1.0,Personal income (thousands of dollars),Thousands of dollars,321149,330248,350146,361593
295, 02240,2.0,Population (persons) 1/,Number of persons,6857,6892,6937,6893
296, 02240,3.0,Per capita personal income (dollars) 2/,Dollars,46835,47918,50475,52458
297, 02261,1.0,Personal income (thousands of dollars),Thousands of dollars,536019,553316,567261,590791
298, 02261,2.0,Population (persons) 1/,Number of persons,9314,9220,9161,9202
299, 02261,3.0,Per capita personal income (dollars) 2/,Dollars,57550,60013,61921,64202
300, 02275,1.0,Personal income (thousands of dollars),Thousands of dollars,113093,114780,123877,123972
301, 02275,2.0,Population (persons) 1/,Number of persons,2496,2521,2538,2502
302, 02275,3.0,Per capita personal income (dollars) 2/,Dollars,45310,45530,48809,49549
303, 02280,1.0,Personal income (thousands of dollars),Thousands of dollars,(NA),(NA),(NA),(NA)
304, 02280,2.0,Population (persons) 1/,Number of persons,(NA),(NA),(NA),(NA)
