,GeoFIPS,LineCode,Description,Unit,2016,2017,2018,2019
6842, 41021,3.0,Per capita personal income (dollars) 2/,Dollars,48960,49752,51784,55409
6843, 41023,1.0,Personal income (thousands of dollars),Thousands of dollars,281638,285861,299724,308754
6844, 41023,2.0,Population (persons) 1/,Number of persons,7166,7188,7185,7199
6845, 41023,3.0,Per capita personal income (dollars) 2/,Dollars,39302,39769,41715,42888
6846, 41025,1.0,Personal income (thousands of dollars),Thousands of dollars,279333,276180,294647,309164
6847, 41025,2.0,Population (persons) 1/,Number of persons,7243,7258,7292,7393
6848, 41025,3.0,Per capita personal income (dollars) 2/,Dollars,38566,38052,40407,41818
6849, 41027,1.0,Personal income (thousands of dollars),Thousands of dollars,1147832,1250796,1301551,1316983
6850, 41027,2.0,Population (persons) 1/,Number of persons,23070,23398,23267,23382
6851, 41027,3.0,Per capita personal income (dollars) 2/,Dollars,49754,53457,55940,56325
6852, 41029,1.0,Personal income (thousands of dollars),Thousands of dollars,9264181,9743846,10237971,10669698
6853, 41029,2.0,Population (persons) 1/,Number of persons,214366,216746,219411,220944
6854, 41029,3.0,Per capita personal income (dollars) 2/,Dollars,43217,44955,46661,48291
6855, 41031,1.0,Personal income (thousands of dollars),Thousands of dollars,746539,775392,830889,866858
6856, 41031,2.0,Population (persons) 1/,Number of persons,23036,23652,24150,24658
6857, 41031,3.0,Per capita personal income (dollars) 2/,Dollars,32407,32783,34405,35155
6858, 41033,1.0,Personal income (thousands of dollars),Thousands of dollars,3234439,3425747,3652347,3810451
6859, 41033,2.0,Population (persons) 1/,Number of persons,85504,86584,87150,87487
6860, 41033,3.0,Per capita personal income (dollars) 2/,Dollars,37828,39566,41909,43554
6861, 41035,1.0,Personal income (thousands of dollars),Thousands of dollars,2500879,2615422,2760780,2839572
6862, 41035,2.0,Population (persons) 1/,Number of persons,66198,66810,67687,68238
6863, 41035,3.0,Per capita personal income (dollars) 2/,Dollars,37779,39147,40787,41613
6864, 41037,1.0,Personal income (thousands of dollars),Thousands of dollars,315039,305207,327238,340162
6865, 41037,2.0,Population (persons) 1/,Number of persons,7830,7874,7835,7869
6866, 41037,3.0,Per capita personal income (dollars) 2/,Dollars,40235,38761,41766,43228
6867, 41039,1.0,Personal income (thousands of dollars),Thousands of dollars,15638663,16667640,17460343,18087217
6868, 41039,2.0,Population (persons) 1/,Number of persons,368874,375264,378549,382067
6869, 41039,3.0,Per capita personal income (dollars) 2/,Dollars,42396,44416,46124,47340
6870, 41041,1.0,Personal income (thousands of dollars),Thousands of dollars,1951091,2060643,2201643,2294997
6871, 41041,2.0,Population (persons) 1/,Number of persons,47793,48757,49224,49962
6872, 41041,3.0,Per capita personal income (dollars) 2/,Dollars,40824,42264,44727,45935
6873, 41043,1.0,Personal income (thousands of dollars),Thousands of dollars,4836624,5147507,5522081,5816653
6874, 41043,2.0,Population (persons) 1/,Number of persons,122769,125035,127451,129749
6875, 41043,3.0,Per capita personal income (dollars) 2/,Dollars,39396,41169,43327,44830
6876, 41045,1.0,Personal income (thousands of dollars),Thousands of dollars,952789,952466,1006070,1057034
6877, 41045,2.0,Population (persons) 1/,Number of persons,30340,30385,30553,30571
6878, 41045,3.0,Per capita personal income (dollars) 2/,Dollars,31404,31347,32929,34576
6879, 41047,1.0,Personal income (thousands of dollars),Thousands of dollars,13335285,14094194,15005203,15706672
6880, 41047,2.0,Population (persons) 1/,Number of persons,335382,340531,345412,347818
6881, 41047,3.0,Per capita personal income (dollars) 2/,Dollars,39761,41389,43441,45158
6882, 41049,1.0,Personal income (thousands of dollars),Thousands of dollars,514187,480921,518513,563965
6883, 41049,2.0,Population (persons) 1/,Number of persons,11222,11198,11360,11603
6884, 41049,3.0,Per capita personal income (dollars) 2/,Dollars,45820,42947,45644,48605
6885, 41051,1.0,Personal income (thousands of dollars),Thousands of dollars,41900565,44595249,47505650,49399774
6886, 41051,2.0,Population (persons) 1/,Number of persons,803212,807885,809072,812855
6887, 41051,3.0,Per capita personal income (dollars) 2/,Dollars,52166,55200,58716,60773
6888, 41053,1.0,Personal income (thousands of dollars),Thousands of dollars,3137645,3323149,3514886,3692806
6889, 41053,2.0,Population (persons) 1/,Number of persons,81436,83711,84992,86085
6890, 41053,3.0,Per capita personal income (dollars) 2/,Dollars,38529,39698,41355,42897
6891, 41055,1.0,Personal income (thousands of dollars),Thousands of dollars,82986,83825,95784,101353
6892, 41055,2.0,Population (persons) 1/,Number of persons,1708,1735,1700,1780
6893, 41055,3.0,Per capita personal income (dollars) 2/,Dollars,48587,48314,56344,56940
6894, 41057,1.0,Personal income (thousands of dollars),Thousands of dollars,1072333,1147388,1185998,1240385
6895, 41057,2.0,Population (persons) 1/,Number of persons,26116,26522,26710,27036
6896, 41057,3.0,Per capita personal income (dollars) 2/,Dollars,41060,43262,44403,45879
6897, 41059,1.0,Personal income (thousands of dollars),Thousands of dollars,2885447,2968166,3145236,3268316
6898, 41059,2.0,Population (persons) 1/,Number of persons,76686,77120,77421,77950
6899, 41059,3.0,Per capita personal income (dollars) 2/,Dollars,37627,38488,40625,41928
6900, 41061,1.0,Personal income (thousands of dollars),Thousands of dollars,978484,1025091,1091361,1119594
6901, 41061,2.0,Population (persons) 1/,Number of persons,26061,26383,26701,26835
6902, 41061,3.0,Per capita personal income (dollars) 2/,Dollars,37546,38854,40873,41721
6903, 41063,1.0,Personal income (thousands of dollars),Thousands of dollars,292413,302618,317138,331884
6904, 41063,2.0,Population (persons) 1/,Number of persons,6915,7025,7058,7208
6905, 41063,3.0,Per capita personal income (dollars) 2/,Dollars,42287,43077,44933,46044
6906, 41065,1.0,Personal income (thousands of dollars),Thousands of dollars,1061189,1104349,1140822,1163239
6907, 41065,2.0,Population (persons) 1/,Number of persons,25782,26296,26432,26682
6908, 41065,3.0,Per capita personal income (dollars) 2/,Dollars,41160,41997,43161,43596
6909, 41067,1.0,Personal income (thousands of dollars),Thousands of dollars,32195324,34429415,36978789,38527576
6910, 41067,2.0,Population (persons) 1/,Number of persons,584910,591336,596904,601592
6911, 41067,3.0,Per capita personal income (dollars) 2/,Dollars,55043,58223,61951,64043
6912, 41069,1.0,Personal income (thousands of dollars),Thousands of dollars,48421,46756,50039,52438
6913, 41069,2.0,Population (persons) 1/,Number of persons,1319,1348,1351,1332
6914, 41069,3.0,Per capita personal income (dollars) 2/,Dollars,36710,34685,37038,39368
6915, 41071,1.0,Personal income (thousands of dollars),Thousands of dollars,4312918,4582390,4876539,5086605
6916, 41071,2.0,Population (persons) 1/,Number of persons,104070,105238,106367,107100
6917, 41071,3.0,Per capita personal income (dollars) 2/,Dollars,41442,43543,45846,47494
6918, 42000,1.0,Personal income (thousands of dollars),Thousands of dollars,662352876,681658520,717255286,742924296
6919, 42000,2.0,Population (persons) 1/,Number of persons,12782275,12787641,12800922,12801989
6920, 42000,3.0,Per capita personal income (dollars) 2/,Dollars,51818,53306,56032,58032
6921, 42001,1.0,Personal income (thousands of dollars),Thousands of dollars,4621403,4798471,4986055,5169186
6922, 42001,2.0,Population (persons) 1/,Number of persons,101911,102562,103062,103009
6923, 42001,3.0,Per capita personal income (dollars) 2/,Dollars,45347,46786,48379,50182
6924, 42003,1.0,Personal income (thousands of dollars),Thousands of dollars,68331413,72070682,77567629,79996554
6925, 42003,2.0,Population (persons) 1/,Number of persons,1226426,1220141,1217281,1216045
6926, 42003,3.0,Per capita personal income (dollars) 2/,Dollars,55716,59068,63722,65784
6927, 42005,1.0,Personal income (thousands of dollars),Thousands of dollars,2665179,2803672,2951807,3037717
6928, 42005,2.0,Population (persons) 1/,Number of persons,66397,65991,65352,64735
6929, 42005,3.0,Per capita personal income (dollars) 2/,Dollars,40140,42486,45168,46925
6930, 42007,1.0,Personal income (thousands of dollars),Thousands of dollars,7417063,7621713,8032448,8294803
6931, 42007,2.0,Population (persons) 1/,Number of persons,166758,165654,164582,163929
6932, 42007,3.0,Per capita personal income (dollars) 2/,Dollars,44478,46010,48805,50600
6933, 42009,1.0,Personal income (thousands of dollars),Thousands of dollars,1864957,1954281,2017863,2079566
6934, 42009,2.0,Population (persons) 1/,Number of persons,48601,48356,48094,47888
6935, 42009,3.0,Per capita personal income (dollars) 2/,Dollars,38373,40414,41957,43426
6936, 42011,1.0,Personal income (thousands of dollars),Thousands of dollars,19185253,19885496,20790624,21605098
6937, 42011,2.0,Population (persons) 1/,Number of persons,415784,417511,420529,421164
6938, 42011,3.0,Per capita personal income (dollars) 2/,Dollars,46142,47629,49439,51299
6939, 42013,1.0,Personal income (thousands of dollars),Thousands of dollars,5312333,5459082,5701223,5881562
6940, 42013,2.0,Population (persons) 1/,Number of persons,123708,123147,122503,121829
6941, 42013,3.0,Per capita personal income (dollars) 2/,Dollars,42943,44330,46539,48277
6942, 42015,1.0,Personal income (thousands of dollars),Thousands of dollars,2285751,2405227,2492049,2605149
6943, 42015,2.0,Population (persons) 1/,Number of persons,61092,60963,60794,60323
6944, 42015,3.0,Per capita personal income (dollars) 2/,Dollars,37415,39454,40992,43187
6945, 42017,1.0,Personal income (thousands of dollars),Thousands of dollars,42326152,43738577,45853193,47662912
6946, 42017,2.0,Population (persons) 1/,Number of persons,625861,626811,627812,628270
6947, 42017,3.0,Per capita personal income (dollars) 2/,Dollars,67629,69780,73037,75864
6948, 42019,1.0,Personal income (thousands of dollars),Thousands of dollars,10036045,10421501,10938035,11363804
6949, 42019,2.0,Population (persons) 1/,Number of persons,186240,186828,187638,187853
6950, 42019,3.0,Per capita personal income (dollars) 2/,Dollars,53888,55781,58293,60493
6951, 42021,1.0,Personal income (thousands of dollars),Thousands of dollars,5350984,5427092,5710818,5872588
6952, 42021,2.0,Population (persons) 1/,Number of persons,134414,132960,131449,130192
6953, 42021,3.0,Per capita personal income (dollars) 2/,Dollars,39810,40817,43445,45107
6954, 42023,1.0,Personal income (thousands of dollars),Thousands of dollars,209397,210564,216550,211101
6955, 42023,2.0,Population (persons) 1/,Number of persons,4710,4619,4501,4447
6956, 42023,3.0,Per capita personal income (dollars) 2/,Dollars,44458,45586,48112,47470
6957, 42025,1.0,Personal income (thousands of dollars),Thousands of dollars,3014350,3083657,3285885,3405025
6958, 42025,2.0,Population (persons) 1/,Number of persons,63499,63828,64175,64182
6959, 42025,3.0,Per capita personal income (dollars) 2/,Dollars,47471,48312,51202,53053
6960, 42027,1.0,Personal income (thousands of dollars),Thousands of dollars,6903061,7258779,7457920,7723642
6961, 42027,2.0,Population (persons) 1/,Number of persons,162034,162316,162601,162385
6962, 42027,3.0,Per capita personal income (dollars) 2/,Dollars,42603,44720,45866,47564
6963, 42029,1.0,Personal income (thousands of dollars),Thousands of dollars,38981605,41067438,44068739,45966383
6964, 42029,2.0,Population (persons) 1/,Number of persons,516767,518901,522086,524989
6965, 42029,3.0,Per capita personal income (dollars) 2/,Dollars,75434,79143,84409,87557
6966, 42031,1.0,Personal income (thousands of dollars),Thousands of dollars,1484892,1526803,1587869,1625182
6967, 42031,2.0,Population (persons) 1/,Number of persons,38590,38998,38672,38438
6968, 42031,3.0,Per capita personal income (dollars) 2/,Dollars,38479,39151,41060,42281
6969, 42033,1.0,Personal income (thousands of dollars),Thousands of dollars,3294613,3401172,3563944,3665814
6970, 42033,2.0,Population (persons) 1/,Number of persons,80196,79799,79572,79255
6971, 42033,3.0,Per capita personal income (dollars) 2/,Dollars,41082,42622,44789,46253
6972, 42035,1.0,Personal income (thousands of dollars),Thousands of dollars,1422155,1474243,1525731,1571117
6973, 42035,2.0,Population (persons) 1/,Number of persons,39017,38830,38696,38632
6974, 42035,3.0,Per capita personal income (dollars) 2/,Dollars,36450,37967,39429,40669
6975, 42037,1.0,Personal income (thousands of dollars),Thousands of dollars,2593764,2671974,2763577,2844937
6976, 42037,2.0,Population (persons) 1/,Number of persons,66133,65581,65215,64964
6977, 42037,3.0,Per capita personal income (dollars) 2/,Dollars,39220,40743,42376,43793
6978, 42039,1.0,Personal income (thousands of dollars),Thousands of dollars,3225466,3305443,3464388,3574515
6979, 42039,2.0,Population (persons) 1/,Number of persons,86306,85772,85110,84629
6980, 42039,3.0,Per capita personal income (dollars) 2/,Dollars,37372,38538,40705,42237
6981, 42041,1.0,Personal income (thousands of dollars),Thousands of dollars,12621737,13156296,13764106,14325462
6982, 42041,2.0,Population (persons) 1/,Number of persons,247369,249024,251131,253370
6983, 42041,3.0,Per capita personal income (dollars) 2/,Dollars,51024,52831,54808,56540
6984, 42043,1.0,Personal income (thousands of dollars),Thousands of dollars,12939114,13453141,14149726,14670748
6985, 42043,2.0,Population (persons) 1/,Number of persons,274196,275714,276864,278299
6986, 42043,3.0,Per capita personal income (dollars) 2/,Dollars,47189,48794,51107,52716
6987, 42045,1.0,Personal income (thousands of dollars),Thousands of dollars,34218472,35499656,37988165,39524914
6988, 42045,2.0,Population (persons) 1/,Number of persons,563708,563858,565231,566747
6989, 42045,3.0,Per capita personal income (dollars) 2/,Dollars,60702,62959,67208,69740
6990, 42047,1.0,Personal income (thousands of dollars),Thousands of dollars,1355226,1391423,1460083,1469797
6991, 42047,2.0,Population (persons) 1/,Number of persons,30512,30271,30110,29910
6992, 42047,3.0,Per capita personal income (dollars) 2/,Dollars,44416,45966,48492,49141
6993, 42049,1.0,Personal income (thousands of dollars),Thousands of dollars,11431703,11632868,12229735,12509662
6994, 42049,2.0,Population (persons) 1/,Number of persons,276170,273558,271544,269728
6995, 42049,3.0,Per capita personal income (dollars) 2/,Dollars,41394,42524,45038,46379
6996, 42051,1.0,Personal income (thousands of dollars),Thousands of dollars,5165727,5310464,5511261,5666748
6997, 42051,2.0,Population (persons) 1/,Number of persons,132350,131309,130323,129274
6998, 42051,3.0,Per capita personal income (dollars) 2/,Dollars,39031,40442,42289,43835
6999, 42053,1.0,Personal income (thousands of dollars),Thousands of dollars,160700,157494,167235,174747
7000, 42053,2.0,Population (persons) 1/,Number of persons,7334,7317,7284,7247
7001, 42053,3.0,Per capita personal income (dollars) 2/,Dollars,21912,21524,22959,24113
7002, 42055,1.0,Personal income (thousands of dollars),Thousands of dollars,6544207,6833358,7156703,7431056
7003, 42055,2.0,Population (persons) 1/,Number of persons,153705,154376,154579,155027
7004, 42055,3.0,Per capita personal income (dollars) 2/,Dollars,42576,44264,46298,47934
7005, 42057,1.0,Personal income (thousands of dollars),Thousands of dollars,570440,608585,648313,665095
7006, 42057,2.0,Population (persons) 1/,Number of persons,14497,14469,14525,14530
7007, 42057,3.0,Per capita personal income (dollars) 2/,Dollars,39349,42061,44634,45774
7008, 42059,1.0,Personal income (thousands of dollars),Thousands of dollars,1442012,1552396,1600233,1636304
7009, 42059,2.0,Population (persons) 1/,Number of persons,37209,36846,36661,36233
7010, 42059,3.0,Per capita personal income (dollars) 2/,Dollars,38754,42132,43649,45161
7011, 42061,1.0,Personal income (thousands of dollars),Thousands of dollars,1580857,1650832,1723279,1777352
7012, 42061,2.0,Population (persons) 1/,Number of persons,45380,45429,45395,45144
7013, 42061,3.0,Per capita personal income (dollars) 2/,Dollars,34836,36339,37962,39371
7014, 42063,1.0,Personal income (thousands of dollars),Thousands of dollars,3089066,3199018,3377934,3489260
7015, 42063,2.0,Population (persons) 1/,Number of persons,85155,84743,84441,84073
7016, 42063,3.0,Per capita personal income (dollars) 2/,Dollars,36276,37750,40003,41503
7017, 42065,1.0,Personal income (thousands of dollars),Thousands of dollars,1759404,1818120,1933606,1991259
7018, 42065,2.0,Population (persons) 1/,Number of persons,44031,43818,43614,43425
7019, 42065,3.0,Per capita personal income (dollars) 2/,Dollars,39958,41493,44335,45855
7020, 42067,1.0,Personal income (thousands of dollars),Thousands of dollars,975416,1073231,1108142,1145486
7021, 42067,2.0,Population (persons) 1/,Number of persons,24559,24635,24718,24763
7022, 42067,3.0,Per capita personal income (dollars) 2/,Dollars,39717,43565,44831,46258
7023, 42069,1.0,Personal income (thousands of dollars),Thousands of dollars,9357388,9576407,9990936,10267137
7024, 42069,2.0,Population (persons) 1/,Number of persons,211004,210451,210269,209674
7025, 42069,3.0,Per capita personal income (dollars) 2/,Dollars,44347,45504,47515,48967
7026, 42071,1.0,Personal income (thousands of dollars),Thousands of dollars,25767174,27129059,28608117,29640682
7027, 42071,2.0,Population (persons) 1/,Number of persons,538160,541332,543969,545724
7028, 42071,3.0,Per capita personal income (dollars) 2/,Dollars,47880,50115,52591,54314
7029, 42073,1.0,Personal income (thousands of dollars),Thousands of dollars,3494448,3580929,3764223,3869619
7030, 42073,2.0,Population (persons) 1/,Number of persons,87325,86546,86128,85512
7031, 42073,3.0,Per capita personal income (dollars) 2/,Dollars,40017,41376,43705,45252
7032, 42075,1.0,Personal income (thousands of dollars),Thousands of dollars,6122493,6433904,6721612,6937119
7033, 42075,2.0,Population (persons) 1/,Number of persons,138480,139553,141339,141793
7034, 42075,3.0,Per capita personal income (dollars) 2/,Dollars,44212,46104,47557,48924
7035, 42077,1.0,Personal income (thousands of dollars),Thousands of dollars,18070983,18572596,19314047,20116946
7036, 42077,2.0,Population (persons) 1/,Number of persons,362298,365577,368359,369318
7037, 42077,3.0,Per capita personal income (dollars) 2/,Dollars,49879,50804,52433,54471
7038, 42079,1.0,Personal income (thousands of dollars),Thousands of dollars,13346318,13704095,14313453,14716470
7039, 42079,2.0,Population (persons) 1/,Number of persons,317172,317808,317859,317417
7040, 42079,3.0,Per capita personal income (dollars) 2/,Dollars,42079,43121,45031,46363
7041, 42081,1.0,Personal income (thousands of dollars),Thousands of dollars,4626869,4761852,4961200,5091802
7042, 42081,2.0,Population (persons) 1/,Number of persons,114876,114012,113866,113299
7043, 42081,3.0,Per capita personal income (dollars) 2/,Dollars,40277,41766,43571,44941
7044, 42083,1.0,Personal income (thousands of dollars),Thousands of dollars,1735447,1771964,1808209,1818942
7045, 42083,2.0,Population (persons) 1/,Number of persons,41670,41362,40950,40625
7046, 42083,3.0,Per capita personal income (dollars) 2/,Dollars,41647,42840,44157,44774
7047, 42085,1.0,Personal income (thousands of dollars),Thousands of dollars,4393104,4523575,4697165,4779885
7048, 42085,2.0,Population (persons) 1/,Number of persons,112598,111473,110471,109424
7049, 42085,3.0,Per capita personal income (dollars) 2/,Dollars,39016,40580,42519,43682
7050, 42087,1.0,Personal income (thousands of dollars),Thousands of dollars,1681877,1749552,1818676,1875076
7051, 42087,2.0,Population (persons) 1/,Number of persons,46316,46290,46211,46138
7052, 42087,3.0,Per capita personal income (dollars) 2/,Dollars,36313,37795,39356,40641
7053, 42089,1.0,Personal income (thousands of dollars),Thousands of dollars,6589053,6801000,7155522,7461802
7054, 42089,2.0,Population (persons) 1/,Number of persons,166220,167895,169294,170271
7055, 42089,3.0,Per capita personal income (dollars) 2/,Dollars,39641,40507,42267,43823
7056, 42091,1.0,Personal income (thousands of dollars),Thousands of dollars,62158305,62398667,65369508,68165713
7057, 42091,2.0,Population (persons) 1/,Number of persons,819791,824303,826924,830915
7058, 42091,3.0,Per capita personal income (dollars) 2/,Dollars,75822,75699,79051,82037
7059, 42093,1.0,Personal income (thousands of dollars),Thousands of dollars,981696,1013522,1044079,1073237
7060, 42093,2.0,Population (persons) 1/,Number of persons,18257,18270,18240,18230
7061, 42093,3.0,Per capita personal income (dollars) 2/,Dollars,53771,55475,57241,58872
7062, 42095,1.0,Personal income (thousands of dollars),Thousands of dollars,15090295,15748286,16661222,17380199
7063, 42095,2.0,Population (persons) 1/,Number of persons,301307,302801,304564,305285
7064, 42095,3.0,Per capita personal income (dollars) 2/,Dollars,50083,52009,54705,56931
7065, 42097,1.0,Personal income (thousands of dollars),Thousands of dollars,3545436,3667593,3811596,3932473
7066, 42097,2.0,Population (persons) 1/,Number of persons,92283,91721,91080,90843
7067, 42097,3.0,Per capita personal income (dollars) 2/,Dollars,38419,39986,41849,43289
7068, 42099,1.0,Personal income (thousands of dollars),Thousands of dollars,1877010,1973221,2061834,2138302
7069, 42099,2.0,Population (persons) 1/,Number of persons,45945,46046,46154,46272
7070, 42099,3.0,Per capita personal income (dollars) 2/,Dollars,40853,42853,44673,46212
7071, 42101,1.0,Personal income (thousands of dollars),Thousands of dollars,85797234,84174572,87820540,90711866
7072, 42101,2.0,Population (persons) 1/,Number of persons,1576051,1580601,1583592,1584064
7073, 42101,3.0,Per capita personal income (dollars) 2/,Dollars,54438,53255,55457,57265
7074, 42103,1.0,Personal income (thousands of dollars),Thousands of dollars,2434302,2522294,2664894,2783350
7075, 42103,2.0,Population (persons) 1/,Number of persons,54955,55397,55780,55809
7076, 42103,3.0,Per capita personal income (dollars) 2/,Dollars,44296,45531,47775,49873
7077, 42105,1.0,Personal income (thousands of dollars),Thousands of dollars,635497,680954,732463,758321
7078, 42105,2.0,Population (persons) 1/,Number of persons,16954,16841,16623,16526
7079, 42105,3.0,Per capita personal income (dollars) 2/,Dollars,37484,40434,44063,45887
7080, 42107,1.0,Personal income (thousands of dollars),Thousands of dollars,5643903,5810119,6024466,6227537
7081, 42107,2.0,Population (persons) 1/,Number of persons,143497,142580,141815,141359
7082, 42107,3.0,Per capita personal income (dollars) 2/,Dollars,39331,40750,42481,44055
7083, 42109,1.0,Personal income (thousands of dollars),Thousands of dollars,1570355,1639321,1699986,1747537
7084, 42109,2.0,Population (persons) 1/,Number of persons,40423,40594,40518,40372
7085, 42109,3.0,Per capita personal income (dollars) 2/,Dollars,38848,40383,41956,43286
7086, 42111,1.0,Personal income (thousands of dollars),Thousands of dollars,2854829,2958143,3060085,3165753
7087, 42111,2.0,Population (persons) 1/,Number of persons,74860,74242,73872,73447
7088, 42111,3.0,Per capita personal income (dollars) 2/,Dollars,38136,39845,41424,43103
7089, 42113,1.0,Personal income (thousands of dollars),Thousands of dollars,258278,267901,280093,287864
7090, 42113,2.0,Population (persons) 1/,Number of persons,6126,6142,6076,6066
7091, 42113,3.0,Per capita personal income (dollars) 2/,Dollars,42161,43618,46098,47455
7092, 42115,1.0,Personal income (thousands of dollars),Thousands of dollars,1647407,1749098,1819959,1884828
7093, 42115,2.0,Population (persons) 1/,Number of persons,41252,40934,40560,40328
7094, 42115,3.0,Per capita personal income (dollars) 2/,Dollars,39935,42730,44871,46737
7095, 42117,1.0,Personal income (thousands of dollars),Thousands of dollars,1533639,1568303,1630781,1704411
7096, 42117,2.0,Population (persons) 1/,Number of persons,41250,40671,40690,40591
7097, 42117,3.0,Per capita personal income (dollars) 2/,Dollars,37179,38561,40078,41990
7098, 42119,1.0,Personal income (thousands of dollars),Thousands of dollars,1679454,1760927,1814244,1859809
7099, 42119,2.0,Population (persons) 1/,Number of persons,45454,44642,45017,44923
7100, 42119,3.0,Per capita personal income (dollars) 2/,Dollars,36948,39446,40301,41400
7101, 42121,1.0,Personal income (thousands of dollars),Thousands of dollars,2028240,2054532,2148913,2220387
7102, 42121,2.0,Population (persons) 1/,Number of persons,52477,51790,51201,50668
7103, 42121,3.0,Per capita personal income (dollars) 2/,Dollars,38650,39670,41970,43822
7104, 42123,1.0,Personal income (thousands of dollars),Thousands of dollars,1554378,1600092,1657629,1700934
7105, 42123,2.0,Population (persons) 1/,Number of persons,40026,39679,39551,39191
7106, 42123,3.0,Per capita personal income (dollars) 2/,Dollars,38834,40326,41911,43401
7107, 42125,1.0,Personal income (thousands of dollars),Thousands of dollars,10961983,11564852,12067229,12472842
7108, 42125,2.0,Population (persons) 1/,Number of persons,207386,207075,207018,206865
7109, 42125,3.0,Per capita personal income (dollars) 2/,Dollars,52858,55849,58291,60295
7110, 42127,1.0,Personal income (thousands of dollars),Thousands of dollars,2043666,2125510,2241090,2322619
7111, 42127,2.0,Population (persons) 1/,Number of persons,51339,51192,51395,51361
7112, 42127,3.0,Per capita personal income (dollars) 2/,Dollars,39807,41520,43605,45221
7113, 42129,1.0,Personal income (thousands of dollars),Thousands of dollars,16876524,17330006,18122969,18749803
7114, 42129,2.0,Population (persons) 1/,Number of persons,354665,352006,350459,348899
7115, 42129,3.0,Per capita personal income (dollars) 2/,Dollars,47584,49232,51712,53740
7116, 42131,1.0,Personal income (thousands of dollars),Thousands of dollars,1125669,1155237,1231438,1261969
7117, 42131,2.0,Population (persons) 1/,Number of persons,27546,27396,27087,26794
7118, 42131,3.0,Per capita personal income (dollars) 2/,Dollars,40865,42168,45462,47099
7119, 42133,1.0,Personal income (thousands of dollars),Thousands of dollars,20489705,21367688,22342240,23164517
7120, 42133,2.0,Population (persons) 1/,Number of persons,443693,445484,447847,449058
7121, 42133,3.0,Per capita personal income (dollars) 2/,Dollars,46180,47965,49888,51585
7122, 44000,1.0,Personal income (thousands of dollars),Thousands of dollars,53530193,55574731,57603706,59707171
7123, 44000,2.0,Population (persons) 1/,Number of persons,1056770,1055673,1058287,1059361
7124, 44000,3.0,Per capita personal income (dollars) 2/,Dollars,50655,52644,54431,56361
7125, 44001,1.0,Personal income (thousands of dollars),Thousands of dollars,3558872,3675904,3720180,3828652
7126, 44001,2.0,Population (persons) 1/,Number of persons,48844,48734,48637,48479
7127, 44001,3.0,Per capita personal income (dollars) 2/,Dollars,72862,75428,76489,78975
7128, 44003,1.0,Personal income (thousands of dollars),Thousands of dollars,8941213,9353815,9619384,10001175
7129, 44003,2.0,Population (persons) 1/,Number of persons,163711,163543,164053,164292
7130, 44003,3.0,Per capita personal income (dollars) 2/,Dollars,54616,57195,58636,60874
7131, 44005,1.0,Personal income (thousands of dollars),Thousands of dollars,5178653,5462126,5652822,5819018
7132, 44005,2.0,Population (persons) 1/,Number of persons,83164,82952,82547,82082
7133, 44005,3.0,Per capita personal income (dollars) 2/,Dollars,62270,65847,68480,70893
7134, 44007,1.0,Personal income (thousands of dollars),Thousands of dollars,28304093,29345581,30404264,31558258
7135, 44007,2.0,Population (persons) 1/,Number of persons,634922,634130,636953,638931
7136, 44007,3.0,Per capita personal income (dollars) 2/,Dollars,44579,46277,47734,49392
7137, 44009,1.0,Personal income (thousands of dollars),Thousands of dollars,7547362,7737305,8207056,8500068
7138, 44009,2.0,Population (persons) 1/,Number of persons,126129,126314,126097,125577
7139, 44009,3.0,Per capita personal income (dollars) 2/,Dollars,59838,61255,65085,67688
7140, 45000,1.0,Personal income (thousands of dollars),Thousands of dollars,201138764,212034057,223256914,233948386
7141, 45000,2.0,Population (persons) 1/,Number of persons,4957968,5021268,5084156,5148714
7142, 45000,3.0,Per capita personal income (dollars) 2/,Dollars,40569,42227,43912,45438
7143, 45001,1.0,Personal income (thousands of dollars),Thousands of dollars,784608,806699,830005,863808
7144, 45001,2.0,Population (persons) 1/,Number of persons,24657,24567,24587,24527
7145, 45001,3.0,Per capita personal income (dollars) 2/,Dollars,31821,32837,33758,35219
7146, 45003,1.0,Personal income (thousands of dollars),Thousands of dollars,6594701,6901807,7236010,7577925
7147, 45003,2.0,Population (persons) 1/,Number of persons,167172,168325,169449,170872
7148, 45003,3.0,Per capita personal income (dollars) 2/,Dollars,39449,41003,42703,44349
7149, 45005,1.0,Personal income (thousands of dollars),Thousands of dollars,266500,280430,290379,291759
7150, 45005,2.0,Population (persons) 1/,Number of persons,9067,9012,8924,8688
7151, 45005,3.0,Per capita personal income (dollars) 2/,Dollars,29392,31117,32539,33582
7152, 45007,1.0,Personal income (thousands of dollars),Thousands of dollars,7269643,7616755,8007522,8339294
7153, 45007,2.0,Population (persons) 1/,Number of persons,195582,198186,200292,202558
7154, 45007,3.0,Per capita personal income (dollars) 2/,Dollars,37169,38432,39979,41170
7155, 45009,1.0,Personal income (thousands of dollars),Thousands of dollars,452460,462758,479517,495161
7156, 45009,2.0,Population (persons) 1/,Number of persons,14478,14384,14272,14066
7157, 45009,3.0,Per capita personal income (dollars) 2/,Dollars,31252,32172,33598,35203
7158, 45011,1.0,Personal income (thousands of dollars),Thousands of dollars,683265,690310,716509,742958
7159, 45011,2.0,Population (persons) 1/,Number of persons,21606,21355,21121,20866
